teff_gspphot,lum_flame
4250.6807,0.06892684
5218.1914,0.19347899
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4494.9067,0.31078237
5050.5493,58.152184
4911.1865,25.07689
,
5207.7944,0.75821745
,
4532.887,0.36175
,
5195.6006,0.18996628
,
,
,
,
,
,
,
,
,
4493.915,
4177.999,
,
,
3610.05,
4568.981,
,
,
,
,
,
,
,
,
,
3981.4905,
3824.846,
,
,
,
8610.617,22.739191
,
,
,
4349.052,
,
,
,
,
5029.0684,0.89248466
4727.1035,0.73087853
,
,
,
,
4947.388,
3687.3513,
3926.709,
,
,
,
,
,
,
,
5831.5757,1.5445516
,
,
,
3646.1804,
,
,
,
,
,
,
,
,
3998.5847,
,
,
,
,
,
,
4484.04,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5000.6626,0.14638737
,
4288.344,
4692.2974,0.10253757
,
7136.45,4.14725
4829.1777,
,
4737.2017,4.128549
4843.483,113.8511
,
4662.457,0.5804847
3810.8389,
,
4878.9443,0.7741347
,
,
,
,
3653.53,
,
,
3871.731,
4789.5874,3.9294264
3658.9111,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5027.3403,1.6725899
,
3822.1675,0.12006303
,
5615.91,0.727015
,
,
4207.1445,0.17429169
,
5458.963,1.2235489
,
4683.344,0.3303617
,
5075.5703,0.4584775
,
5853.219,1.6541585
,
,
3645.1177,
,
,
7328.7847,5.111511
4262.2544,
,
,
,
,
,
,
,
,
,
,
,
3232.2383,
4257.0234,
4934.206,0.18341729
3702.27,
,
,
,
,
,
,
4811.8228,0.2638513
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
6908.615,2.8508046
4767.9307,0.054253343
,
3566.3242,
,
,
,
3787.3215,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5276.1943,1.0594583
5199.5586,0.82617706
4771.9346,
3927.1897,
4646.1763,0.29257396
,
4768.868,0.09698758
,
,
7989.8613,13.00459
,
4666.329,27.956076
,
4909.6636,1.1445924
,
3720.9875,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
6750.044,2.6887674
,
,
,
,
,
,
,
,
4526.268,0.75496095
4579.626,0.59860396
4066.1895,
,
,
,
,
,
4238.1685,
,
,
6667.0884,2.429218
