teff_val,lum_val
,
4069.5598,
3740.8098,
,
,
,
,
,
,
,
,
,
,
,
5341.5,1.6986392
,
,
,
,
,
,
5365.0,2.9859293
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4297.5,0.33986303
,
,
,
,
,
,
,
,
,
,
,
3461.0,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4742.0874,
,
,
,
,
,
,
,
,
,
,
,
,
,
5018.3877,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4423.0,0.13758534
,
,
,
,
,
,
,
,
,
,
,
5259.5,
,
,
,
,
,
4686.75,
5316.6997,0.61589766
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4449.0,0.76249564
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4390.3833,
,
,
,
4261.5,0.14085566
,
,
,
,
,
,
3938.96,
3697.5,
,
,
,
,
,
,
,
,
,
,
,
,
,
4169.365,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4024.6667,
,
,
3854.0,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5835.6665,
,
,
,
3893.25,
,
,
,
,
,
4133.9526,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4080.1,2.6619585
,
,
4162.2666,
,
,
,
,
,
4641.96,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
3600.0,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4288.8325,0.13677722
,
,
5067.41,
5376.5,1.1752446
,
,
,
,
,
3857.5,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4272.065,
,
,
,
,
,
,
3627.0,0.6551367
,
4360.5,1.9655645
,
,
,
,
,
,
,
,
4036.4849,0.71580464
,
,
,
,
,
,
,
,
,
,
,
,
,
7439.3335,10.050724
,
,
,
,
4223.835,0.34286776
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4878.5,
,
,
4449.0,
,
,
,
,
,
,
,
,
,
,
,
5449.83,
,
,
,
5326.25,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
3930.6675,
,
,
,
,
,
,
,
4572.433,0.33419746
,
5194.6104,2.843976
,
,
,
,
,
,
,
,
,
,
4630.6665,0.31963098
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5302.3335,
,
,
,
,
,
,
,
,
,
4920.25,5.907167
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
3797.95,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4890.0,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
3931.9902,
,
,
,
